,k5,k12,Interlimb,BodyWidth,PelvicWidth,PelvicHeight,HeadWidth,SnoutEye,EyeDiameter,HeadDepth,TailWidth,TailLength,UpperArm,LowerArm,Hand,UpperLeg,LowerLeg,Foot,Neck,PosSkull,Size,Genus,Genus_species
Diporiphora_amphiboluroides,2,2,1.081955854,0.31174503,-0.604892062,-0.36525707,0.137402637,-1.035497342,-1.171315031,-0.130459744,-0.513631642,2.30686851,-0.152801968,-0.128665055,-0.166301942,0.083770482,0.173436493,0.319907402,0.071222899,-0.217487451,2.763606785,Diporiphora_amphiboluroides,Diporiphora_amphiboluroides
Diporiphora_nobbi,1,2,1.021150629,0.34580535,-0.532559801,-0.311695553,0.111802688,-1.210499216,-1.097278341,-0.206651043,-0.689121441,2.510627411,-0.259875805,-0.207125239,-0.082427213,0.229521872,0.244126594,0.597725931,-0.10087974,-0.362647083,2.744782454,Diporiphora_nobbi,Diporiphora_nobbi
Pogona_minor_minima,2,2,1.090320245,0.550866858,-0.53959154,-0.41000379,0.137570127,-1.326395476,-1.241278876,-0.291884314,-0.569688294,2.406430818,-0.120808629,-0.100602898,-0.057679098,0.166911242,0.232943997,0.456405935,-0.070967855,-0.312548454,2.926287975,Pogona_minor_minima,Pogona_minor_minima
Chelosania_brunnea,2,3,1.175128622,0.130352909,-1.057903532,-0.182294827,0.190450435,-1.035480448,-1.286521166,0.189485882,-0.616690873,2.276138993,-0.081001353,-0.103490977,-0.026346304,0.091469994,0.010680452,0.338210875,0.163827785,-0.176016467,2.841854819,Chelosania_brunnea,Chelosania_brunnea
Chlamydosaurus_kingii,3,4,0.852436619,0.170986063,-0.966022353,-0.1829311,-0.011822618,-1.176466099,-1.160344365,-0.08463263,-0.568801827,2.37312931,-0.093851068,-0.050506514,-0.086623831,0.302004735,0.280858572,0.4611002,0.486213495,-0.54472659,3.747168109,Chlamydosaurus_kingii,Chlamydosaurus_kingii
Hypsilurus_godeffroyi,3,4,1.098548739,-0.286506638,-1.140323008,-0.058867694,-0.056199162,-0.907693633,-1.483950237,0.077141857,-0.894401457,2.736179746,-0.014808801,-0.044466233,0.021302248,0.332114623,0.362043524,0.634788328,0.180556901,-0.555459101,3.729964978,Hypsilurus_godeffroyi,Hypsilurus_godeffroyi
Hypsilurus_magnus,3,4,0.988576663,0.153992455,-0.899254952,-0.117681538,0.080139026,-1.044581776,-1.218619292,-0.065444436,-0.547579245,2.707575517,-0.125895345,-0.186551787,-0.077595019,0.190566233,0.202588357,0.56516229,0.007279605,-0.612676755,3.6143911,Hypsilurus_magnus,Hypsilurus_magnus
Hypsilurus_nigrigularis,3,4,1.068409737,-0.097940569,-0.907007295,-0.135134604,-0.035035455,-0.930452913,-1.330277028,-0.112169426,-0.63617766,2.733482984,-0.122365339,-0.123179008,-0.057725155,0.290150899,0.270357963,0.641123945,0.092890333,-0.608951409,3.547848746,Hypsilurus_nigrigularis,Hypsilurus_nigrigularis
Hypsilurus_papuensis,3,4,1.008118294,-0.155767818,-1.397393343,-0.034027383,0.152765954,-0.878192899,-1.168223309,0.11090931,-0.886830566,2.886691532,-0.11558384,-0.035372825,0.033866846,0.218854444,0.294732114,0.594200252,0.074186202,-0.702932964,3.426856515,Hypsilurus_papuensis,Hypsilurus_papuensis
Intellagama_lesueurii,3,4,0.88504358,0.212462677,-0.840825469,-0.244935783,0.25895699,-1.146960094,-1.398956275,-0.097872184,-0.248665183,2.406551419,-0.215157272,-0.185818796,-0.102381048,0.303471331,0.278731394,0.549311809,0.008361986,-0.42131908,3.758866435,Intellagama_lesueurii,Intellagama_lesueurii
Physignathus_cocincinus,3,4,0.930433427,-0.143006369,-1.107627492,-0.097997071,0.044900964,-0.926959619,-1.284692863,-0.005022835,-0.564357156,2.587623481,-0.090138298,-0.088724604,-0.054562522,0.355775256,0.311894222,0.552028261,0.074293354,-0.493860137,3.655248082,Physignathus_cocincinus,Physignathus_cocincinus
Cryptagama_aurita,4,5,1.120690518,0.603227641,-0.336449457,-0.395930367,0.448159278,-1.207982288,-0.889222513,-0.028550593,-0.721697773,1.504547204,-0.051588261,-0.141879278,-0.163561932,0.15402973,0.132673503,0.345722219,-0.149444051,-0.222743579,1.891079133,Cryptagama_aurita,Cryptagama_aurita
Tympanocryptis_cephalus,4,5,1.049495335,0.584302588,-0.422371366,-0.305079591,0.252070851,-1.562996429,-1.071288561,-0.122103073,-0.742186104,1.890026021,0.004954374,-0.07152774,-0.072485824,0.21878434,0.240397228,0.366982011,0.019704229,-0.256678288,2.417411757,Tympanocryptis_cephalus,Tympanocryptis_cephalus
Tympanocryptis_diabolicus,4,5,1.035356644,0.521906271,-0.38740984,-0.357025103,0.327831875,-1.576133082,-1.131477111,-0.048660562,-0.795538065,2.00011593,0.045109157,-0.07399781,-0.242419529,0.231602091,0.243560096,0.401853128,0.091639632,-0.286313723,2.340437456,Tympanocryptis_diabolicus,Tympanocryptis_diabolicus
Tympanocryptis_einasleighensis,4,5,1.142981947,0.603662694,-0.474743908,-0.194315412,0.319153968,-1.346278214,-1.038639538,-0.017357874,-0.877584343,1.942358076,-0.100570743,-0.100570743,-0.15029536,0.102671351,0.138889699,0.295915743,-0.183127404,-0.062149942,2.216525007,Tympanocryptis_einasleighensis,Tympanocryptis_einasleighensis
Tympanocryptis_fictilis,4,5,1.101538988,0.424986256,-0.381070031,-0.316848234,0.260565644,-1.434649948,-1.157258422,-0.068369597,-0.816220619,1.976580597,-0.027116428,-0.097079703,-0.08091426,0.211617854,0.237260284,0.398723805,-0.068369597,-0.163376588,2.360230726,Tympanocryptis_fictilis,Tympanocryptis_fictilis
Tympanocryptis_fortescuensis,4,5,1.010350682,0.527949816,-0.42185958,-0.42247064,0.262185006,-1.557812859,-1.083538085,-0.128239158,-0.872304163,2.070957059,0.014679493,-0.01077667,-0.102018463,0.252895096,0.284938654,0.469149891,-0.004586366,-0.289499714,2.370012111,Tympanocryptis_fortescuensis,Tympanocryptis_fortescuensis
Tympanocryptis_gigas,4,5,1.061821596,0.535985049,-0.456956389,-0.351862474,0.335612152,-1.562830318,-0.970705805,-0.080075691,-0.882422164,2.021199933,0.020729008,-0.119777189,-0.062467779,0.205841502,0.16865209,0.340084123,0.034800535,-0.23762818,2.338708897,Tympanocryptis_gigas,Tympanocryptis_gigas
