"Genus_species","Interlimb","Body_Width","Pelvic_Width","Pelvic_Height","Head_Width","Snout_Eye","Eye_Diameter","Head_Depth","Tail_Width","Tail_Length","Upper_Arm","Lower_Arm","Hand","Upper_Leg","Lower_Leg","Foot","Neck","Pos_Skull"
"Ctenophorus infans",31.42,17.46,6.56,6.87,14.14,2.42,3.97,8.35,7.14,126,10.58,8.75,10.82,17.3,19.28,25.81,10.6,8.52
"Ctenophorus infans",30.69,17.28,7.27,7.36,14.99,2.98,3.68,7.74,7.15,131,10.46,9.65,11.59,18.14,19.02,26.24,12.95,8.42
"Ctenophorus isolepis citrinus",27.35,12.09,5.81,7.8,11.99,2.81,3.2,8.13,6.86,108,8.16,7.63,10.27,13.61,15.28,20.46,12.47,6.72
"Ctenophorus isolepis citrinus",27.69,12.73,7.01,7.71,12.57,3.03,3.06,8.69,6.84,112,8.74,8.64,10.15,13.13,14.9,20.9,12.11,7.37
"Ctenophorus isolepis gularis",29.17,13.43,6.14,8.37,11.55,2.08,2.87,8,7.59,130,8.52,8.29,9.24,14.91,18.92,23.81,10.46,7.83
"Ctenophorus isolepis gularis",28.89,14.19,6.41,8.11,11.58,2.1,3.29,8.11,7.67,128,10.19,9.12,9.82,15.7,18.34,23.96,11.96,7.68
"Ctenophorus isolepis isolepis",30.86,14.73,5.91,8.75,12.58,2.91,3.68,9.45,7.8,148,9.37,9.32,10,15.53,18.01,24.54,12.53,7.83
"Ctenophorus isolepis isolepis",35.77,13.22,6.2,8.99,13.35,2.47,3.56,8.75,8.11,171,10.93,10.15,10.36,16.9,20.46,27.04,11.53,9.13
"Ctenophorus maculatus",25.46,10.74,5.01,7.16,10.36,2.35,3.41,7.7,6.42,149,8.11,6.54,8.33,13.07,16.48,20.73,10.55,6.37
"Ctenophorus maculatus",28.04,11.83,5.74,6.49,10.48,2.4,2.91,7.09,5.72,127,8.97,8.17,8.54,12.28,14.52,19.77,12.05,6.38
"Ctenophorus maculatus",26.66,10.67,5.47,6.56,10.19,2.47,3.32,7.27,5.87,138,8.17,7.44,9.53,12.88,14.99,20.16,11.62,6.48
