lineage,AHE,gene,uce,total_loci,filename,Targets,Source,Order,HigherOrder,Family,Subfamily,Genus,Species,RegNo
Agamidae_Tympanocryptis_wilsoni_QMJ87307,357,35,4741,5133,Agamidae_Tympanocryptis_wilsoni_QMJ87307.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,wilsoni,QMJ87307
Agamidae_Tympanocryptis_wilsoni_QMJ89119,353,31,4564,4948,Agamidae_Tympanocryptis_wilsoni_QMJ89119.fasta,SqCL,AusARG_Agamidae,Squamata,Iguania,Agamidae,Amphibolurinae,Tympanocryptis,wilsoni,QMJ89119
Agamidae_Acanthosaura_armata_lsuhc9351,16,0,4128,4144,Agamidae_Acanthosaura_armata_lsuhc9351.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Acanthosaura,armata,lsuhc9351
Agamidae_Acanthosaura_coronata_FMNH262964,359,35,4798,5192,Agamidae_Acanthosaura_coronata_FMNH262964.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Acanthosaura,coronata,FMNH262964
Agamidae_Acanthosaura_crucigera_LSUHC9913,354,0,1,355,Agamidae_Acanthosaura_crucigera_LSUHC9913.fasta,AHE,Burbrink et al. 2021 (AHE_T212),Squamata,Iguania,Agamidae,Draconinae,Acanthosaura,crucigera,LSUHC9913
Agamidae_Acanthosaura_lepidogaster_cwl818,14,0,3873,3887,Agamidae_Acanthosaura_lepidogaster_cwl818.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Acanthosaura,lepidogaster,cwl818
Agamidae_Acanthosaura_nataliae_MVZHerp258141,349,30,4659,5038,Agamidae_Acanthosaura_nataliae_MVZHerp258141.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Acanthosaura,nataliae,MVZHerp258141
Agamidae_Aphaniotis_acutirostris_MVZHerp239462,351,35,4820,5206,Agamidae_Aphaniotis_acutirostris_MVZHerp239462.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Aphaniotis,acutirostris,MVZHerp239462
Agamidae_Bronchocela_cristatella_acd1547,15,0,3961,3976,Agamidae_Bronchocela_cristatella_acd1547.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Bronchocela,cristatella,acd1547
Agamidae_Bronchocela_jubata_MVZHerp253996,359,35,4824,5218,Agamidae_Bronchocela_jubata_MVZHerp253996.fasta,SqCL,Title & Singhal et al. (2024),Squamata,Iguania,Agamidae,Draconinae,Bronchocela,jubata,MVZHerp253996
